ticker	company_name	sector	industry	general_description	customers	products_services	hq_location	exchange	country	logo_url
VOLV	Volvo AB	Industrials	Machinery	Commercial vehicles	Commercial transportation	"Trucks, Buses, Construction equipment"	"Gothenburg, Sweden"	NASDAQ	Sweden	https://logo.clearbit.com/volvogroup.com
STLA	Stellantis N.V.	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Jeep, Ram, Dodge, Chrysler"	"Amsterdam, Netherlands"	NYSE	Netherlands	https://logo.clearbit.com/stellantis.com
HMC	Honda Motor Co Ltd.	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Honda, Acura, Civic, Accord"	"Tokyo, Japan"	NYSE	Japan	https://logo.clearbit.com/honda.com
TM	Toyota Motor Corporation	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Toyota, Lexus, Prius, Camry"	"Toyota City, Japan"	NYSE	Japan	https://logo.clearbit.com/toyota.com
NSANY	Nissan Motor Co Ltd.	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Nissan, Infiniti, Altima, Rogue"	"Yokohama, Japan"	NASDAQ	Japan	https://logo.clearbit.com/nissan-global.com
BMWYY	Bayerische Motoren Werke AG	Consumer Discretionary	Automotive	Luxury automotive manufacturer	Global consumers	"BMW, MINI, Rolls-Royce, Motorcycles"	"Munich, Germany"	NASDAQ	Germany	https://logo.clearbit.com/bmwgroup.com
DDAIF	Daimler AG	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Mercedes-Benz, Commercial vehicles, Financial services"	"Stuttgart, Germany"	NASDAQ	Germany	https://logo.clearbit.com/mercedes-benz.com
VWAGY	Volkswagen AG	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Volkswagen, Audi, Porsche, Bentley"	"Wolfsburg, Germany"	NASDAQ	Germany	https://logo.clearbit.com/volkswagen.com
FUJHY	Fujifilm Holdings Corporation	Information Technology	Consumer Electronics	Imaging and information solutions	Various industries	"Medical systems, Business innovation, Imaging"	"Tokyo, Japan"	NASDAQ	Japan	https://logo.clearbit.com/fujifilm.com
SNE	Sony Group Corporation	Communication Services	Media & Entertainment	Entertainment and technology	Global consumers	"PlayStation, Music, Movies, Electronics"	"Tokyo, Japan"	NYSE	Japan	https://logo.clearbit.com/sony.com
TYO	Toyota Motor Corporation	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Toyota, Lexus, Prius, Camry"	"Toyota City, Japan"	NYSE	Japan	https://logo.clearbit.com/toyota.com
NTDOY	Nintendo Co Ltd.	Communication Services	Media & Entertainment	Video game entertainment	Global gamers	"Video game consoles, Games, Mobile gaming"	"Kyoto, Japan"	NASDAQ	Japan	https://logo.clearbit.com/nintendo.com
CSGP	CoStar Group Inc.	Real Estate	Real Estate Services	Commercial real estate information	Real estate professionals	"Commercial real estate data, Analytics, Marketing"	"Washington, D.C."	NASDAQ	USA	https://logo.clearbit.com/costargroup.com
Z	Zillow Group Inc.	Real Estate	Real Estate Services	Online real estate marketplace	Home buyers and sellers	"Zillow platform, Rental listings, Home loans"	"Seattle, Washington"	NASDAQ	USA	https://logo.clearbit.com/zillow.com
RMAX	RE/MAX Holdings Inc.	Real Estate	Real Estate Services	Real estate franchise	Real estate agents	"Franchise services, Lead generation, Technology"	"Denver, Colorado"	NYSE	USA	https://logo.clearbit.com/remax.com
HOUS	Anywhere Real Estate Inc.	Real Estate	Real Estate Services	Real estate services	Home buyers and sellers	"Brokerage services, Franchise, Relocation"	"Madison, New Jersey"	NYSE	USA	https://logo.clearbit.com/anywhere.re
EXPI	eXp World Holdings Inc.	Real Estate	Real Estate Services	Cloud-based real estate brokerage	Real estate agents	"Virtual reality platform, Commission sharing, Technology"	"Bellingham, Washington"	NASDAQ	USA	https://logo.clearbit.com/expworldholdings.com
RICK	RCI Hospitality Holdings Inc.	Consumer Discretionary	Hotels & Lodging	Adult entertainment	Adult entertainment consumers	"Nightclubs, Restaurants, Media"	"Houston, Texas"	NASDAQ	USA	https://logo.clearbit.com/rcihospitality.com
RH	RH	Consumer Discretionary	Retail	Luxury home furnishings	Affluent consumers	"Furniture, Lighting, Textiles, Hospitality"	"Corte Madera, California"	NYSE	USA	https://logo.clearbit.com/rh.com
WSM	Williams-Sonoma Inc.	Consumer Discretionary	Retail	Home furnishings retailer	Consumers	"Cookware, Furniture, Home decor"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/williams-sonoma.com
BBW	Build-A-Bear Workshop Inc.	Consumer Discretionary	Retail	Specialty toy retailer	Children and families	"Customizable teddy bears, Accessories, Experiences"	"St. Louis, Missouri"	NYSE	USA	https://logo.clearbit.com/buildabear.com
EXPR	Express Inc.	Consumer Discretionary	Apparel & Footwear	Fashion retailer	Young adults	"Clothing, Accessories, Professional wear"	"Columbus, Ohio"	NYSE	USA	https://logo.clearbit.com/express.com
CHCO	City Holding Company	Financials	Banks	Regional bank	Consumers and businesses	"Banking, Wealth management, Insurance"	"Charleston, West Virginia"	NASDAQ	USA	https://logo.clearbit.com/cityholding.com
BANF	BancFirst Corporation	Financials	Banks	Regional bank	Oklahoma customers	"Banking, Wealth management, Insurance"	"Oklahoma City, Oklahoma"	NASDAQ	USA	https://logo.clearbit.com/bancfirst.com
FULT	Fulton Financial Corporation	Financials	Banks	Regional bank	Mid-Atlantic customers	"Banking, Wealth management, Investment services"	"Lancaster, Pennsylvania"	NASDAQ	USA	https://logo.clearbit.com/fult.com
UBSI	United Bankshares Inc.	Financials	Banks	Regional bank	Mid-Atlantic customers	"Banking, Wealth management, Insurance"	"Charleston, West Virginia"	NASDAQ	USA	https://logo.clearbit.com/ubsi-inc.com
WSFS	WSFS Financial Corporation	Financials	Banks	Regional bank	Delaware and surrounding areas	"Banking, Wealth management, Cash management"	"Wilmington, Delaware"	NASDAQ	USA	https://logo.clearbit.com/wsfsbank.com
SFNC	Simmons First National Corporation	Financials	Banks	Regional bank	Arkansas and surrounding states	"Banking, Wealth management, Insurance"	"Pine Bluff, Arkansas"	NASDAQ	USA	https://logo.clearbit.com/simmonsbank.com
OZRK	Bank OZK	Financials	Banks	Regional bank	South Central US	"Banking, Real estate lending, Treasury services"	"Little Rock, Arkansas"	NASDAQ	USA	https://logo.clearbit.com/ozk.com
SNV	Synovus Financial Corp.	Financials	Banks	Regional bank	Southeast US	"Banking, Wealth management, Mortgage"	"Columbus, Georgia"	NYSE	USA	https://logo.clearbit.com/synovus.com
UMBF	UMB Financial Corporation	Financials	Banks	Regional bank	Midwest customers	"Banking, Asset servicing, Wealth management"	"Kansas City, Missouri"	NASDAQ	USA	https://logo.clearbit.com/umb.com
CBSH	Commerce Bancshares Inc.	Financials	Banks	Regional bank	Midwest customers	"Banking, Wealth management, Brokerage"	"Kansas City, Missouri"	NASDAQ	USA	https://logo.clearbit.com/commercebank.com
TCBI	Texas Capital Bancshares	Financials	Banks	Regional bank	Texas customers	"Banking, Wealth management, Mortgage"	"Dallas, Texas"	NASDAQ	USA	https://logo.clearbit.com/texascapitalbank.com
WTFC	Wintrust Financial Corporation	Financials	Banks	Regional bank	Chicago area	"Banking, Wealth management, Mortgage"	"Rosemont, Illinois"	NASDAQ	USA	https://logo.clearbit.com/wintrust.com
BANC	Banc of California Inc.	Financials	Banks	Regional bank	California customers	"Banking, Wealth management, SBA lending"	"Santa Ana, California"	NYSE	USA	https://logo.clearbit.com/bancofcal.com
PACW	PacWest Bancorp	Financials	Banks	Regional bank	California customers	"Banking, Wealth management, Equipment financing"	"Beverly Hills, California"	NASDAQ	USA	https://logo.clearbit.com/pacwestbank.com
WAL	Western Alliance Bancorporation	Financials	Banks	Regional bank	Western US	"Banking, Wealth management, HOA banking"	"Phoenix, Arizona"	NYSE	USA	https://logo.clearbit.com/westernalliancebank.com
CVBF	CVB Financial Corp.	Financials	Banks	Regional bank	California customers	"Banking, Wealth management, Business banking"	"Ontario, California"	NASDAQ	USA	https://logo.clearbit.com/cbbank.com
PPBI	Pacific Premier Bancorp	Financials	Banks	Regional bank	Western US	"Banking, Wealth management, SBA lending"	"Irvine, California"	NASDAQ	USA	https://logo.clearbit.com/ppbi.com
SSBK	Southern States Bancshares	Financials	Banks	Regional bank	Alabama customers	"Banking, Wealth management, Mortgage"	"Anniston, Alabama"	NASDAQ	USA	https://logo.clearbit.com/ssbk.com
HOPE	Hope Bancorp Inc.	Financials	Banks	Regional bank	California and other states	"Banking, Small business lending, Trade finance"	"Los Angeles, California"	NASDAQ	USA	https://logo.clearbit.com/hopebank.com
BPOP	Popular Inc.	Financials	Banks	Regional bank	Puerto Rico and US	"Banking, Auto financing, Mortgage"	"San Juan, Puerto Rico"	NASDAQ	Puerto Rico	https://logo.clearbit.com/popular.com
OFG	OFG Bancorp	Financials	Banks	Regional bank	Puerto Rico and US	"Banking, Wealth management, Insurance"	"San Juan, Puerto Rico"	NYSE	Puerto Rico	https://logo.clearbit.com/orientalbank.com
EQBK	Equity Bancshares Inc.	Financials	Banks	Regional bank	Kansas and surrounding states	"Banking, Wealth management, Insurance"	"Wichita, Kansas"	NASDAQ	USA	https://logo.clearbit.com/equitybank.com
LKFN	Lakeland Financial Corporation	Financials	Banks	Regional bank	Indiana customers	"Banking, Wealth management, Insurance"	"Warsaw, Indiana"	NASDAQ	USA	https://logo.clearbit.com/lakelandbank.com
CNOB	ConnectOne Bancorp Inc.	Financials	Banks	Regional bank	New York and New Jersey	"Banking, Wealth management, Commercial lending"	"Englewood Cliffs, New Jersey"	NASDAQ	USA	https://logo.clearbit.com/connectonebank.com
NRIM	Northrim BanCorp Inc.	Financials	Banks	Regional bank	Alaska customers	"Banking, Investment management, Insurance"	"Anchorage, Alaska"	NASDAQ	USA	https://logo.clearbit.com/northrim.com
BRKL	Brookline Bancorp Inc.	Financials	Banks	Regional bank	New England	"Banking, Wealth management, Commercial lending"	"Boston, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/brooklinebank.com
TRMK	Trustmark Corporation	Financials	Banks	Regional bank	Southeast US	"Banking, Wealth management, Insurance"	"Jackson, Mississippi"	NASDAQ	USA	https://logo.clearbit.com/trustmark.com
RBCAA	Republic Bancorp Inc.	Financials	Banks	Regional bank	Kentucky and surrounding states	"Banking, Mortgage, Tax services"	"Louisville, Kentucky"	NASDAQ	USA	https://logo.clearbit.com/republicbank.com
FRME	First Merchants Corporation	Financials	Banks	Regional bank	Midwest customers	"Banking, Wealth management, Insurance"	"Muncie, Indiana"	NASDAQ	USA	https://logo.clearbit.com/firstmerchants.com
GBCI	Glacier Bancorp Inc.	Financials	Banks	Regional bank	Western US	"Banking, Wealth management, Insurance"	"Kalispell, Montana"	NASDAQ	USA	https://logo.clearbit.com/glacierbank.com
WAFD	WaFd Inc.	Financials	Banks	Regional bank	Western US	"Banking, Wealth management, Insurance"	"Seattle, Washington"	NASDAQ	USA	https://logo.clearbit.com/wafd.com
COLB	Columbia Banking System	Financials	Banks	Regional bank	Pacific Northwest	"Banking, Wealth management, Insurance"	"Tacoma, Washington"	NASDAQ	USA	https://logo.clearbit.com/columbiabank.com
BBDC	Barings BDC Inc.	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Credit investments, Portfolio management"	"Charlotte, North Carolina"	NYSE	USA	https://logo.clearbit.com/barings.com
PSEC	Prospect Capital Corporation	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Credit investments, Private equity"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/prospectstreet.com
ARCC	Ares Capital Corporation	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Credit investments, Private equity"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/arescapitalcorp.com
MAIN	Main Street Capital Corporation	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Lower middle market, Private equity"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/mainstcapital.com
HTGC	Hercules Capital Inc.	Financials	Asset Management	Business development company	Technology companies	"Venture debt, Growth capital, Technology lending"	"Palo Alto, California"	NYSE	USA	https://logo.clearbit.com/htgc.com
GBDC	Golub Capital BDC Inc.	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Senior secured debt, Mezzanine"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/golubcapital.com
FDUS	Fidus Investment Corporation	Financials	Asset Management	Business development company	Private companies	"Lower middle market, Debt and equity investments, Business credit"	"Evanston, Illinois"	NASDAQ	USA	https://logo.clearbit.com/fidusinvestment.com
GAIN	Gladstone Investment Corporation	Financials	Asset Management	Business development company	Private companies	"Lower middle market, Equity investments, Management buyouts"	"McLean, Virginia"	NASDAQ	USA	https://logo.clearbit.com/gladstonecompanies.com
NMFC	New Mountain Finance Corporation	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Defensive growth companies, Credit investments"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/newmountainfinance.com
FSK	FS KKR Capital Corp.	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Credit investments, Floating rate loans"	"Philadelphia, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/fskkcapital.com
ORC	Orchid Island Capital Inc.	Financials	REITs	Mortgage REIT	Income investors	"Residential mortgage-backed securities, Agency MBS, Hedging"	"Vero Beach, Florida"	NYSE	USA	https://logo.clearbit.com/orchidislandcapital.com
NLY	Annaly Capital Management Inc.	Financials	REITs	Mortgage REIT	Income investors	"Residential and commercial mortgage assets, Agency MBS"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/annaly.com
AGNC	AGNC Investment Corp.	Financials	REITs	Mortgage REIT	Income investors	"Agency residential mortgage-backed securities, Hedging strategies"	"Bethesda, Maryland"	NASDAQ	USA	https://logo.clearbit.com/agnc.com
NRZ	New Residential Investment Corp.	Financials	REITs	Mortgage REIT	Income investors	"Residential securities, Mortgage servicing rights, Consumer loans"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/newresi.com
CIM	Chimera Investment Corporation	Financials	REITs	Mortgage REIT	Income investors	"Residential mortgage loans, Commercial real estate, CMBS"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/chimerareit.com
CMO	Capstead Mortgage Corporation	Financials	REITs	Mortgage REIT	Income investors	"Single-family residential mortgages, Agency securities"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/capstead.com
NYMT	New York Mortgage Trust	Financials	REITs	Mortgage REIT	Income investors	"Residential and commercial mortgage assets, Distressed residential"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/nymtrust.com
PMT	PennyMac Mortgage Investment Trust	Financials	REITs	Mortgage REIT	Income investors	"Mortgage-related investments, Credit risk transfer securities"	"Westlake Village, California"	NYSE	USA	https://logo.clearbit.com/pennymac.com
BXMT	Blackstone Mortgage Trust Inc.	Financials	REITs	Mortgage REIT	Income investors	"Commercial real estate debt, Senior mortgage loans"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/bxmt.com
STWD	Starwood Property Trust Inc.	Financials	REITs	Mortgage REIT	Income investors	"Commercial mortgage lending, Real estate investing, Infrastructure"	"Greenwich, Connecticut"	NYSE	USA	https://logo.clearbit.com/starwoodpropertytrust.com
ACRE	Ares Commercial Real Estate Corp.	Financials	REITs	Mortgage REIT	Income investors	"Commercial real estate debt, Senior mortgage loans"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/arescre.com
TPVG	TriplePoint Venture Growth BDC	Financials	Asset Management	Business development company	Venture-backed companies	"Venture lending, Growth capital, Equipment financing"	"Menlo Park, California"	NYSE	USA	https://logo.clearbit.com/tpvg.com
PFLT	PennantPark Floating Rate Capital	Financials	Asset Management	Business development company	Private companies	"Floating rate loans, Senior secured debt, Middle market"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/pennantpark.com
TCPC	BlackRock TCP Capital Corp.	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Senior debt, Mezzanine"	"Santa Monica, California"	NASDAQ	USA	https://logo.clearbit.com/tcpcapital.com
OCSL	Oaktree Specialty Lending Corp.	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Senior secured loans, Unitranche"	"Los Angeles, California"	NASDAQ	USA	https://logo.clearbit.com/oaktreespecialtylending.com
SLRC	SLR Investment Corp.	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Senior secured debt, Mezzanine"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/slrinvestmentcorp.com
TSLX	Sixth Street Specialty Lending	Financials	Asset Management	Business development company	Private companies	"Direct lending, Senior secured debt, Unitranche"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/sixthstreet.com
BCSF	Bain Capital Specialty Finance	Financials	Asset Management	Business development company	Private companies	"Middle market lending, Senior debt, Direct lending"	"Boston, Massachusetts"	NYSE	USA	https://logo.clearbit.com/baincapitalspecialtyfinance.com
CGBD	Carlyle Secured Lending Inc.	Financials	Asset Management	Business development company	Private companies	"Senior secured lending, First lien debt, Middle market"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/carlyle.com
WFC-PL	Wells Fargo & Company	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/wellsfargo.com
JPM-PC	JPMorgan Chase & Co.	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/jpmorganchase.com
BAC-PK	Bank of America Corporation	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"Charlotte, North Carolina"	NYSE	USA	https://logo.clearbit.com/bankofamerica.com
C-PN	Citigroup Inc.	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/citigroup.com
USB-PA	U.S. Bancorp	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"Minneapolis, Minnesota"	NYSE	USA	https://logo.clearbit.com/usbank.com
PNC-PQ	PNC Financial Services	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"Pittsburgh, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/pnc.com
TFC-PO	Truist Financial Corporation	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"Charlotte, North Carolina"	NYSE	USA	https://logo.clearbit.com/truist.com
MS-PF	Morgan Stanley	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/morganstanley.com
GS-PA	Goldman Sachs Group	Financials	Banks	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/goldmansachs.com
COF-PK	Capital One Financial	Financials	Consumer Finance	Preferred stock	Income investors	"Preferred dividends, Bank preferred securities"	"McLean, Virginia"	NYSE	USA	https://logo.clearbit.com/capitalone.com
EPD	Enterprise Products Partners	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Natural gas pipelines, Storage, Transportation"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/enterpriseproducts.com
KMI	Kinder Morgan Inc.	Energy	Oil & Gas	Pipeline company	Energy infrastructure	"Natural gas pipelines, CO2 transport, Terminals"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/kindermorgan.com
OKE	ONEOK Inc.	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Natural gas gathering, Processing, Storage"	"Tulsa, Oklahoma"	NYSE	USA	https://logo.clearbit.com/oneok.com
WMB	Williams Companies Inc.	Energy	Oil & Gas	Natural gas infrastructure	Energy infrastructure	"Natural gas pipelines, Processing, Storage"	"Tulsa, Oklahoma"	NYSE	USA	https://logo.clearbit.com/williams.com
TRP	TC Energy Corporation	Energy	Oil & Gas	Pipeline company	Energy infrastructure	"Natural gas pipelines, Oil pipelines, Power generation"	"Calgary, Canada"	NYSE	Canada	https://logo.clearbit.com/tcenergy.com
ENB	Enbridge Inc.	Energy	Oil & Gas	Pipeline company	Energy infrastructure	"Oil pipelines, Gas distribution, Renewable power"	"Calgary, Canada"	NYSE	Canada	https://logo.clearbit.com/enbridge.com
PPL	Pembina Pipeline Corporation	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Oil pipelines, Gas services, Petrochemicals"	"Calgary, Canada"	NYSE	Canada	https://logo.clearbit.com/pembina.com
ET	Energy Transfer LP	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Natural gas pipelines, Crude oil, NGL transportation"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/energytransfer.com
MPLX	MPLX LP	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Pipeline, Storage, Processing"	"Findlay, Ohio"	NYSE	USA	https://logo.clearbit.com/mplx.com
PAGP	Plains GP Holdings	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Crude oil pipelines, NGL services, Storage"	"Houston, Texas"	NASDAQ	USA	https://logo.clearbit.com/plainsallamerican.com
WES	Western Midstream Partners	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Natural gas gathering, Processing, Transportation"	"The Woodlands, Texas"	NYSE	USA	https://logo.clearbit.com/westernmidstream.com
HESM	Hess Midstream LP	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Gas processing, Oil transportation, Water services"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/hessmidstream.com
DCP	DCP Midstream LP	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Natural gas processing, NGL production, Marketing"	"Denver, Colorado"	NYSE	USA	https://logo.clearbit.com/dcpmidstream.com
ENLC	EnLink Midstream LLC	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Natural gas gathering, Processing, Transportation"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/enlinkmidstream.com
TRGP	Targa Resources Corp.	Energy	Oil & Gas	Midstream energy	Energy infrastructure	"Natural gas processing, NGL production, Petrochemicals"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/targaresources.com
KRP	Kimbell Royalty Partners	Energy	Oil & Gas	Royalty company	Energy royalty investors	"Oil and gas royalties, Mineral interests, Working interests"	"Fort Worth, Texas"	NYSE	USA	https://logo.clearbit.com/kimbellrp.com
VNOM	Viper Energy Partners LP	Energy	Oil & Gas	Royalty company	Energy royalty investors	"Oil and gas royalties, Mineral interests, Permian Basin"	"Midland, Texas"	NASDAQ	USA	https://logo.clearbit.com/viperenergy.com
PBT	Permian Basin Royalty Trust	Energy	Oil & Gas	Royalty trust	Energy royalty investors	"Oil and gas royalties, Permian Basin, Passive income"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/pbt-permian.com
SJT	San Juan Basin Royalty Trust	Energy	Oil & Gas	Royalty trust	Energy royalty investors	"Natural gas royalties, San Juan Basin, Passive income"	"Fort Worth, Texas"	NYSE	USA	https://logo.clearbit.com/sjt-trust.com
BPT	BP Prudhoe Bay Royalty Trust	Energy	Oil & Gas	Royalty trust	Energy royalty investors	"Oil royalties, Prudhoe Bay, Alaska production"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/bpt-trust.com
MVO	MV Oil Trust	Energy	Oil & Gas	Royalty trust	Energy royalty investors	"Oil royalties, Kansas production, Passive income"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/mvoiltrust.com
CHMI	Cherry Hill Mortgage Investment	Financials	REITs	Mortgage REIT	Income investors	"Residential mortgage assets, Agency MBS, Non-agency MBS"	"Farmingdale, New York"	NYSE	USA	https://logo.clearbit.com/cherryhillmortgage.com
RWT	Redwood Trust Inc.	Financials	REITs	Mortgage REIT	Income investors	"Residential and commercial mortgages, Credit risk transfer"	"Mill Valley, California"	NYSE	USA	https://logo.clearbit.com/redwoodtrust.com
EARN	Ellington Financial Inc.	Financials	REITs	Mortgage REIT	Income investors	"Mortgage-related assets, Real estate, Consumer loans"	"Old Greenwich, Connecticut"	NYSE	USA	https://logo.clearbit.com/ellingtonfinancial.com
MFA	MFA Financial Inc.	Financials	REITs	Mortgage REIT	Income investors	"Residential mortgage assets, Agency MBS, Credit sensitive assets"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/mfafinancial.com
TWO	Two Harbors Investment Corp.	Financials	REITs	Mortgage REIT	Income investors	"Residential mortgage-backed securities, MSR, Commercial real estate"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/twoharborsinvestment.com
MITT	AG Mortgage Investment Trust	Financials	REITs	Mortgage REIT	Income investors	"Residential and commercial mortgage assets, Credit investments"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/agmit.com
IVR	Invesco Mortgage Capital Inc.	Financials	REITs	Mortgage REIT	Income investors	Residential and commercial mortgage-backed securities	"Atlanta, Georgia"	NYSE	USA	https://logo.clearbit.com/invescomortgagecapital.com
ARR	ARMOUR Residential REIT Inc.	Financials	REITs	Mortgage REIT	Income investors	"Agency mortgage-backed securities, Hedging strategies"	"Vero Beach, Florida"	NYSE	USA	https://logo.clearbit.com/armourreit.com
AI	C3.ai Inc.	Information Technology	Software	Enterprise AI software	Enterprises	"AI applications, Machine learning, Predictive analytics"	"Redwood City, California"	NYSE	USA	https://logo.clearbit.com/c3.ai
BBAI	BigBear.ai Holdings Inc.	Information Technology	Software	AI and analytics platform	Government and enterprises	"AI solutions, Data analytics, Decision support"	"Columbia, Maryland"	NYSE	USA	https://logo.clearbit.com/bigbear.ai
UPST	Upstart Holdings Inc.	Financials	Consumer Finance	AI-powered lending platform	Banks and consumers	"Personal loans, Auto loans, AI underwriting"	"San Mateo, California"	NASDAQ	USA	https://logo.clearbit.com/upstart.com
LMND	Lemonade Inc.	Financials	Insurance	AI-powered insurance	Consumers	"Renters insurance, Homeowners insurance, Pet insurance"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/lemonade.com
ROOT	Root Inc.	Financials	Insurance	Usage-based auto insurance	Consumers	"Auto insurance, Telematics, Mobile app"	"Columbus, Ohio"	NASDAQ	USA	https://logo.clearbit.com/joinroot.com
METC	Ramaco Resources Inc.	Energy	Coal	Metallurgical coal	Steel producers	"Metallurgical coal, Thermal coal, Mining"	"Lexington, Kentucky"	NASDAQ	USA	https://logo.clearbit.com/ramacoresources.com
ARLP	Alliance Resource Partners	Energy	Coal	Coal production	Utilities and steel producers	"Thermal coal, Metallurgical coal, Oil and gas"	"Tulsa, Oklahoma"	NASDAQ	USA	https://logo.clearbit.com/arlp.com
ARCH	Arch Resources Inc.	Energy	Coal	Metallurgical coal	Steel producers	"Metallurgical coal, Thermal coal, Mining"	"St. Louis, Missouri"	NYSE	USA	https://logo.clearbit.com/archcoal.com
BTU	Peabody Energy Corporation	Energy	Coal	Coal mining	Utilities and steel producers	"Thermal coal, Metallurgical coal, Seaborne coal"	"St. Louis, Missouri"	NYSE	USA	https://logo.clearbit.com/peabodyenergy.com
CEIX	CONSOL Energy Inc.	Energy	Coal	Coal and gas production	Utilities and steel producers	"Bituminous coal, Natural gas, PADD operations"	"Canonsburg, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/consolenergy.com
HNRG	Hallador Energy Company	Energy	Coal	Coal production	Electric utilities	"Steam coal, Illinois Basin, Coal mining"	"Terre Haute, Indiana"	NASDAQ	USA	https://logo.clearbit.com/halladorenergy.com
CTRA	Coterra Energy Inc.	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Shale drilling, Natural gas, Oil production"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/coterraenergy.com
RRC	Range Resources Corporation	Energy	Oil & Gas	Natural gas exploration	Global energy markets	"Appalachian Basin, Natural gas, NGL production"	"Fort Worth, Texas"	NASDAQ	USA	https://logo.clearbit.com/rangeresources.com
AR	Antero Resources Corporation	Energy	Oil & Gas	Natural gas exploration	Global energy markets	"Marcellus Shale, Utica Shale, Natural gas"	"Denver, Colorado"	NYSE	USA	https://logo.clearbit.com/anteroresources.com
